"Reference","Value","Datasheet","Opis","Qty","#","Manufacturer","Part Number","Mouser#","LCSC#"
"U202,U302,U402,U502","MCP23S17T-E/SS","http://ww1.microchip.com/downloads/en/DeviceDoc/20001952C.pdf","16-bit I/O expander, SPI, interrupts, w pull-ups, SSOP-28","4","1","Microchip","MCP23S17T-E/SS","579-MCP23S17T-E/SS","C128577"
"U101","R-78E3.3-0.5","https://recom-power.com/pdf/Innoline/R-78E-0.5.pdf","0.5A Step-Down DC/DC-Regulator, 6-28V input, 3.3V fixed Output Voltage, LM78xx replacement, -40°C to +85°C, SIP3","1","2","RECOM","R-78E3.3-0.5","919-R-78E3.3-0.5","C18212316"
"U201,U203,U301,U303,U401,U403,U501,U503","TBD62083AFNG","https://toshiba.semicon-storage.com/info/datasheet_en_20160511.pdf?did=29893","Gate Drivers DMOS Transistor Array 8-CH, 50V/0.5A","8","3","Toshiba","TBD62083AFNG,EL","757-TBD62083AFNGEL","C163229"
"F101","0.5A","https://www.littelfuse.com/assetdocs/littelfuse_fuse_466_datasheet?assetguid=dbe9bcd7-6072-4adf-bf5b-d33e52a6b90f","Fuse, small symbol","1","4","Littelfuse","0466.500NR","576-0466.500NR","C151133"
"D217,D317,D417,D517","SMBJ45A","https://www.littelfuse.com/assetdocs/tvs-diodes-smbj-series-datasheet?assetguid=ba555e99-a12d-4f72-a0b6-86b06c67171e","ESD Protection Diodes / TVS Diodes TVS 500W 50V","4","5","Littelfuse","SMBJ45A","576-SMBJ45A","C720171"
"D104","SMAJ28A","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet","400W unidirectional Transient Voltage Suppressor, 28.0Vr, SMA(DO-214AC)","1","6","Littelfuse","SMAJ28A","576-SMAJ28A","C148227"
"D101","SM712-02HTG","https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_sm712_datasheet.pdf.pdf","7V/12V, 600W Asymmetrical TVS Diode Array, SOT-23","1","7","Littelfuse","SM712-02HTG","576-SM712-02HTG","C172881"
"D103","CD123D-B140LR","https://www.mouser.com/catalog/specsheets/bourns_CD123D-B1xR.pdf","Schottky diode, small symbol","1","8","Bourns","CD123D-B140LR","652-CD123D-B140LR","C6877135"
"U103","STM32G031F8P6","https://www.st.com/resource/en/datasheet/stm32g031f8.pdf","STMicroelectronics Arm Cortex-M0+ MCU, 64KB flash, 8KB RAM, 64 MHz, 1.7-3.6V, 18 GPIO, TSSOP20","1","9","STMicroelectronics","STM32G031F8P6","511-STM32G031F8P6","C529334"
"U102","THVD1450DRBR","https://www.ti.com/lit/ds/symlink/thvd1450.pdf","3.3-V to 5-V RS-485 transceiver with ±18-kV IEC ESD protection, VSON-8","1","10","Texas Instruments","THVD1450DRBR","595-THVD1450DRBR","C1850226"
"C101,C102","10u","~","10 uF 50 VDC 10% 1206 X5R AEC-Q200","2","11","Murata","GRT31CR61H106KE01L","81-GRT31CR61H106KE1L","C417124"
"C103,C105,C106,C201,C204,C206,C208,C301,C304,C306,C308,C401,C404,C406,C408,C501,C504,C506,C508","0.1u","~","0.1 uF 50 VDC 10% 0603 X7R AEC-Q200","19","12","Murata","GCJ188R71H104KA12D","81-GCJ188R71H104KA2D","C161115"
"C104,C203,C303,C403,C503","2.2u","~","2.2 uF 50 VDC 10% 0603 X5R AEC-Q200","5","13","Murata","GRT188R61H225KE13D","81-GRT188R61H225KE3D","C668370"
