Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102",1206,2,10u,
"C103, C105, C106, C201, C204, C206, C208, C301, C304, C306, C308, C401, C404, C406, C408, C501, C504, C506, C508",0603,19,0.1u,
"C104, C203, C303, C403, C503",0603,5,2.2u,
"C202, C302, C402, C502",CP_Elec_8x10,4,100u,
"C205, C207, C305, C307, C405, C407, C505, C507",0603,8,1u,
D101,SOT-23,1,SM712-02HTG,
"D102, D201, D202, D203, D204, D205, D206, D207, D208, D209, D210, D211, D212, D213, D214, D215, D216, D301, D302, D303, D304, D305, D306, D307, D308, D309, D310, D311, D312, D313, D314, D315, D316, D401, D402, D403, D404, D405, D406, D407, D408, D409, D410, D411, D412, D413, D414, D415, D416, D501, D502, D503, D504, D505, D506, D507, D508, D509, D510, D511, D512, D513, D514, D515, D516",0603,65,RED,
"D217, D317, D417, D517",D_SMB,4,SACB50,
J101,TerminalBlock_DEGSON_15EDGVC-3.5-4P_No_SilkScreen,1,15EDGVC-3.5-4P,
J102,PinHeader_2x03_P1.27mm_Vertical,1,02x03 1.27,
"J201, J301, J401, J501",TerminalBlock_DEGSON_15EDGVC-3.5-20P_No_SilkScreen,4,15EDGVC-3.5-20P,
"R101, R102, R201, R202, R203, R204, R205, R206, R207, R208, R209, R210, R211, R212, R213, R214, R215, R216, R217, R301, R302, R303, R304, R305, R306, R307, R308, R309, R310, R311, R312, R313, R314, R315, R316, R317, R401, R402, R403, R404, R405, R406, R407, R408, R409, R410, R411, R412, R413, R414, R415, R416, R417, R501, R502, R503, R504, R505, R506, R507, R508, R509, R510, R511, R512, R513, R514, R515, R516, R517",0603,70,10K,
R103,0603,1,470,
"R218, R318, R418, R518",0603,4,33,
"RN201, RN203, RN301, RN303, RN401, RN403, RN501, RN503",R_Array_Convex_8x0602_EXB2HV,8,8x 47R,
"RN202, RN204, RN302, RN304, RN402, RN404, RN502, RN504",R_Array_Convex_8x0602_EXB2HV,8,8x 100K,
U101,Converter_DCDC_RECOM_R-78E-0.5_THT,1,R-78E3.3-1.0,
U102,VSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,1,THVD1450DRBR,
U103,TSSOP-20_4.4x6.5mm_P0.65mm,1,STM32G031F8P6,
"U201, U203, U301, U303, U401, U403, U501, U503",SSOP-18_4.4x6.5mm_P0.65mm,8,TBD62083AFNG,
"U202, U302, U402, U502",SSOP-28_5.3x10.2mm_P0.65mm,4,MCP23S17T-E/SS,
