Designator,Mid X,Mid Y,Rotation,Layer
C101,81.16,-94.5,0.0,top
C102,86.24,-94.5,180.0,top
C103,97.74375,-92.0,90.0,bottom
C104,97.0,-103.0,270.0,top
C105,98.5,-103.0,270.0,top
C106,95.5,-103.0,90.0,top
C201,142.3,-99.5,270.0,top
C202,101.05,-94.0,180.0,top
C203,128.3,-99.5,270.0,top
C204,129.8,-99.5,270.0,top
C205,120.325,-90.0,270.0,top
C206,118.825,-90.0,270.0,top
C207,161.275,-90.0,270.0,top
C208,159.775,-90.0,270.0,top
C301,214.1,-99.5,270.0,top
C302,172.85,-94.0,180.0,top
C303,200.1,-99.5,270.0,top
C304,201.6,-99.5,270.0,top
C305,192.125,-90.0,270.0,top
C306,190.625,-90.0,270.0,top
C307,233.075,-90.0,270.0,top
C308,231.575,-90.0,270.0,top
C401,115.8,-111.5,90.0,top
C402,157.05,-117.0,0.0,top
C403,129.8,-111.5,90.0,top
C404,128.3,-111.5,90.0,top
C405,137.775,-121.0,90.0,top
C406,139.275,-121.0,90.0,top
C407,96.825,-121.0,90.0,top
C408,98.325,-121.0,90.0,top
C501,187.6,-111.5,90.0,top
C502,228.85,-117.0,0.0,top
C503,201.6,-111.5,90.0,top
C504,200.1,-111.5,90.0,top
C505,209.575,-121.0,90.0,top
C506,211.075,-121.0,90.0,top
C507,168.625,-121.0,90.0,top
C508,170.125,-121.0,90.0,top
D101,94.91875,-86.0625,90.0,bottom
D102,85.74,-98.0,0.0,top
D201,124.8,-88.7125,270.0,top
D202,126.3,-88.7125,270.0,top
D203,127.8,-88.7125,270.0,top
D204,129.3,-88.7125,270.0,top
D205,130.8,-88.7125,270.0,top
D206,132.3,-88.7125,270.0,top
D207,133.8,-88.7125,270.0,top
D208,135.3,-88.7125,270.0,top
D209,136.8,-88.7125,270.0,top
D210,138.3,-88.7125,270.0,top
D211,139.8,-88.7125,270.0,top
D212,141.3,-88.7125,270.0,top
D213,142.8,-88.7125,270.0,top
D214,144.3,-88.7125,270.0,top
D215,145.8,-88.7125,270.0,top
D216,147.3,-88.7125,270.0,top
D217,101.05,-86.5,0.0,top
D301,196.6,-88.7125,270.0,top
D302,198.1,-88.7125,270.0,top
D303,199.6,-88.7125,270.0,top
D304,201.1,-88.7125,270.0,top
D305,202.6,-88.7125,270.0,top
D306,204.1,-88.7125,270.0,top
D307,205.6,-88.7125,270.0,top
D308,207.1,-88.7125,270.0,top
D309,208.6,-88.7125,270.0,top
D310,210.1,-88.7125,270.0,top
D311,211.6,-88.7125,270.0,top
D312,213.1,-88.7125,270.0,top
D313,214.6,-88.7125,270.0,top
D314,216.1,-88.7125,270.0,top
D315,217.6,-88.7125,270.0,top
D316,219.1,-88.7125,270.0,top
D317,172.85,-86.5,0.0,top
D401,133.3,-122.2125,90.0,top
D402,131.8,-122.2125,90.0,top
D403,130.3,-122.2125,90.0,top
D404,128.8,-122.2125,90.0,top
D405,127.3,-122.2125,90.0,top
D406,125.8,-122.2125,90.0,top
D407,124.3,-122.2125,90.0,top
D408,122.8,-122.2125,90.0,top
D409,121.3,-122.2125,90.0,top
D410,119.8,-122.2125,90.0,top
