Ref,Val,Package,PosX,PosY,Rot,Side
"C103","0.1u","C_0603_1608Metric",97.743750,-92.000000,90.000000,bottom
"D101","SM712-02HTG","SOT-23",94.918750,-86.062500,-90.000000,bottom
"R102","10K","R_0603_1608Metric",95.893750,-95.500000,0.000000,bottom
"R201","10K","R_0603_1608Metric",124.800000,-85.325000,90.000000,bottom
"R202","10K","R_0603_1608Metric",126.300000,-85.325000,90.000000,bottom
"R203","10K","R_0603_1608Metric",127.800000,-85.325000,90.000000,bottom
"R204","10K","R_0603_1608Metric",129.300000,-85.325000,90.000000,bottom
"R205","10K","R_0603_1608Metric",130.800000,-85.325000,90.000000,bottom
"R206","10K","R_0603_1608Metric",132.300000,-85.325000,90.000000,bottom
"R207","10K","R_0603_1608Metric",133.800000,-85.325000,90.000000,bottom
"R208","10K","R_0603_1608Metric",135.300000,-85.325000,90.000000,bottom
"R209","10K","R_0603_1608Metric",136.800000,-85.325000,90.000000,bottom
"R210","10K","R_0603_1608Metric",138.300000,-85.325000,90.000000,bottom
"R211","10K","R_0603_1608Metric",139.800000,-85.325000,90.000000,bottom
"R212","10K","R_0603_1608Metric",141.300000,-85.325000,90.000000,bottom
"R213","10K","R_0603_1608Metric",142.800000,-85.325000,90.000000,bottom
"R214","10K","R_0603_1608Metric",144.300000,-85.325000,90.000000,bottom
"R215","10K","R_0603_1608Metric",145.800000,-85.325000,90.000000,bottom
"R216","10K","R_0603_1608Metric",147.300000,-85.325000,90.000000,bottom
"R301","10K","R_0603_1608Metric",196.600000,-85.325000,90.000000,bottom
"R302","10K","R_0603_1608Metric",198.100000,-85.325000,90.000000,bottom
"R303","10K","R_0603_1608Metric",199.600000,-85.325000,90.000000,bottom
"R304","10K","R_0603_1608Metric",201.100000,-85.325000,90.000000,bottom
"R305","10K","R_0603_1608Metric",202.600000,-85.325000,90.000000,bottom
"R306","10K","R_0603_1608Metric",204.100000,-85.325000,90.000000,bottom
"R307","10K","R_0603_1608Metric",205.600000,-85.325000,90.000000,bottom
"R308","10K","R_0603_1608Metric",207.100000,-85.325000,90.000000,bottom
"R309","10K","R_0603_1608Metric",208.600000,-85.325000,90.000000,bottom
"R310","10K","R_0603_1608Metric",210.100000,-85.325000,90.000000,bottom
"R311","10K","R_0603_1608Metric",211.600000,-85.325000,90.000000,bottom
"R312","10K","R_0603_1608Metric",213.100000,-85.325000,90.000000,bottom
"R313","10K","R_0603_1608Metric",214.600000,-85.325000,90.000000,bottom
"R314","10K","R_0603_1608Metric",216.100000,-85.325000,90.000000,bottom
"R315","10K","R_0603_1608Metric",217.600000,-85.325000,90.000000,bottom
"R316","10K","R_0603_1608Metric",219.100000,-85.325000,90.000000,bottom
"R401","10K","R_0603_1608Metric",133.300000,-125.825000,-90.000000,bottom
"R402","10K","R_0603_1608Metric",131.800000,-125.825000,-90.000000,bottom
"R403","10K","R_0603_1608Metric",130.300000,-125.825000,-90.000000,bottom
"R404","10K","R_0603_1608Metric",128.800000,-125.825000,-90.000000,bottom
"R405","10K","R_0603_1608Metric",127.300000,-125.825000,-90.000000,bottom
"R406","10K","R_0603_1608Metric",125.800000,-125.825000,-90.000000,bottom
"R407","10K","R_0603_1608Metric",124.300000,-125.825000,-90.000000,bottom
"R408","10K","R_0603_1608Metric",122.800000,-125.825000,-90.000000,bottom
"R409","10K","R_0603_1608Metric",121.300000,-125.825000,-90.000000,bottom
"R410","10K","R_0603_1608Metric",119.800000,-125.825000,-90.000000,bottom
