Ref,Val,Package,PosX,PosY,Rot,Side
"C103","0.1u","C_0603_1608Metric",83.642893,-97.017893,90.000000,bottom
"D101","SM712-02HTG","SOT-23",80.817893,-91.080393,-90.000000,bottom
"R102","10K","R_0603_1608Metric",81.792893,-100.517893,0.000000,bottom
"R203","10K","R_0603_1608Metric",112.292893,-80.617893,90.000000,bottom
"R204","10K","R_0603_1608Metric",113.792893,-80.617893,90.000000,bottom
"R205","10K","R_0603_1608Metric",115.292893,-80.617893,90.000000,bottom
"R206","10K","R_0603_1608Metric",116.792893,-80.617893,90.000000,bottom
"R207","10K","R_0603_1608Metric",118.292893,-80.617893,90.000000,bottom
"R208","10K","R_0603_1608Metric",119.792893,-80.617893,90.000000,bottom
"R209","10K","R_0603_1608Metric",121.292893,-80.617893,90.000000,bottom
"R210","10K","R_0603_1608Metric",122.792893,-80.617893,90.000000,bottom
"R211","10K","R_0603_1608Metric",124.292893,-80.617893,90.000000,bottom
"R212","10K","R_0603_1608Metric",125.792893,-80.617893,90.000000,bottom
"R213","10K","R_0603_1608Metric",127.292893,-80.617893,90.000000,bottom
"R214","10K","R_0603_1608Metric",128.792893,-80.617893,90.000000,bottom
"R215","10K","R_0603_1608Metric",130.292893,-80.617893,90.000000,bottom
"R216","10K","R_0603_1608Metric",131.792893,-80.617893,90.000000,bottom
"R217","10K","R_0603_1608Metric",133.292893,-80.617893,90.000000,bottom
"R218","10K","R_0603_1608Metric",134.792893,-80.617893,90.000000,bottom
"R303","10K","R_0603_1608Metric",182.292893,-80.617893,90.000000,bottom
"R304","10K","R_0603_1608Metric",183.792893,-80.617893,90.000000,bottom
"R305","10K","R_0603_1608Metric",185.292893,-80.617893,90.000000,bottom
"R306","10K","R_0603_1608Metric",186.792893,-80.617893,90.000000,bottom
"R307","10K","R_0603_1608Metric",188.292893,-80.617893,90.000000,bottom
"R308","10K","R_0603_1608Metric",189.792893,-80.617893,90.000000,bottom
"R309","10K","R_0603_1608Metric",191.292893,-80.617893,90.000000,bottom
"R310","10K","R_0603_1608Metric",192.792893,-80.617893,90.000000,bottom
"R311","10K","R_0603_1608Metric",194.292893,-80.617893,90.000000,bottom
"R312","10K","R_0603_1608Metric",195.792893,-80.617893,90.000000,bottom
"R313","10K","R_0603_1608Metric",197.292893,-80.617893,90.000000,bottom
"R314","10K","R_0603_1608Metric",198.792893,-80.617893,90.000000,bottom
"R315","10K","R_0603_1608Metric",200.292893,-80.617893,90.000000,bottom
"R316","10K","R_0603_1608Metric",201.792893,-80.617893,90.000000,bottom
"R317","10K","R_0603_1608Metric",203.292893,-80.617893,90.000000,bottom
"R318","10K","R_0603_1608Metric",204.792893,-80.617893,90.000000,bottom
"R403","10K","R_0603_1608Metric",120.792893,-121.117893,-90.000000,bottom
"R404","10K","R_0603_1608Metric",119.292893,-121.117893,-90.000000,bottom
"R405","10K","R_0603_1608Metric",117.792893,-121.117893,-90.000000,bottom
"R406","10K","R_0603_1608Metric",116.292893,-121.117893,-90.000000,bottom
"R407","10K","R_0603_1608Metric",114.792893,-121.117893,-90.000000,bottom
"R408","10K","R_0603_1608Metric",113.292893,-121.117893,-90.000000,bottom
"R409","10K","R_0603_1608Metric",111.792893,-121.117893,-90.000000,bottom
"R410","10K","R_0603_1608Metric",110.292893,-121.117893,-90.000000,bottom
"R411","10K","R_0603_1608Metric",108.792893,-121.117893,-90.000000,bottom
"R412","10K","R_0603_1608Metric",107.292893,-121.117893,-90.000000,bottom
"R413","10K","R_0603_1608Metric",105.792893,-121.117893,-90.000000,bottom
"R414","10K","R_0603_1608Metric",104.292893,-121.117893,-90.000000,bottom
"R415","10K","R_0603_1608Metric",102.792893,-121.117893,-90.000000,bottom
"R416","10K","R_0603_1608Metric",101.292893,-121.117893,-90.000000,bottom
"R417","10K","R_0603_1608Metric",99.792893,-121.117893,-90.000000,bottom
"R418","10K","R_0603_1608Metric",98.292893,-121.117893,-90.000000,bottom
"R503","10K","R_0603_1608Metric",190.792893,-121.117893,-90.000000,bottom
"R504","10K","R_0603_1608Metric",189.292893,-121.117893,-90.000000,bottom
"R505","10K","R_0603_1608Metric",187.792893,-121.117893,-90.000000,bottom
"R506","10K","R_0603_1608Metric",186.292893,-121.117893,-90.000000,bottom
"R507","10K","R_0603_1608Metric",184.792893,-121.117893,-90.000000,bottom
"R508","10K","R_0603_1608Metric",183.292893,-121.117893,-90.000000,bottom
"R509","10K","R_0603_1608Metric",181.792893,-121.117893,-90.000000,bottom
